Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week,Purchased
1739,01-07-19,male,100,red,7,specialty,yes,Not Reported,no,9,1
1740,01-07-19,female,100,no preference,10,specialty,no,>100K,no,10,1
1741,01-07-19,female,100,red,10,specialty,no,>100K,no,10,1
1742,01-07-19,male,100,blue,10,no preference,no,Not Reported,no,10,0
1743,01-07-19,male,100,white,1,no preference,no,Not Reported,no,1,0
1744,01-07-19,female,100,silver,2,chocolate,yes,>100K,no,9,1
1745,01-07-19,female,100,blue,1,swirl,no,>100K,no,7,1
1746,01-07-19,male,100,white,4,vanilla,yes,Not Reported,no,7,0
1747,01-07-19,male,100,no preference,10,specialty,no,Not Reported,no,10,0
1748,01-07-19,female,100,no preference,7,specialty,yes,>100K,no,7,1
1749,01-07-19,female,100,red,4,swirl,no,>100K,no,8,1
1750,01-07-19,male,100,silver,6,no preference,yes,Not Reported,no,9,0
1751,01-07-19,female,100,blue,10,chocolate,no,>100K,no,10,1
1752,01-07-19,female,100,no preference,9,no preference,no,>100K,no,9,1
1753,01-07-19,female,100,red,5,vanilla,yes,>100K,no,7,1
1754,01-07-19,female,100,red,8,vanilla,no,>100K,no,9,1
1755,01-07-19,female,100,no preference,6,vanilla,yes,>100K,no,9,1
1756,01-07-19,female,100,white,3,specialty,no,>100K,no,9,1
1757,01-07-19,female,100,no preference,8,swirl,yes,>100K,no,9,1
1758,01-07-19,female,100,no preference,9,chocolate,no,>100K,no,10,1
1759,01-07-19,female,100,silver,3,vanilla,no,>100K,no,3,1
1760,01-07-19,male,100,silver,0,specialty,no,Not Reported,no,1,1
1761,01-07-19,female,100,silver,6,swirl,no,>100K,no,9,1
1762,01-07-19,female,100,black,3,chocolate,no,>100K,no,3,1
1763,01-07-19,male,100,blue,4,chocolate,yes,Not Reported,no,5,1
1764,01-07-19,female,100,no preference,6,specialty,no,>100K,no,10,1
1765,01-07-19,male,100,black,0,swirl,yes,Not Reported,no,2,1
1766,01-07-19,female,100,white,2,swirl,yes,>100K,no,3,1
1767,01-07-19,female,100,silver,3,no preference,no,>100K,no,4,1
1768,01-07-19,female,100,red,3,chocolate,yes,>100K,no,5,1
1769,01-07-19,male,100,silver,2,chocolate,yes,Not Reported,no,8,1
1770,01-07-19,male,100,silver,7,no preference,yes,Not Reported,no,7,0
1771,01-07-19,female,100,black,3,no preference,yes,>100K,no,3,1
1772,01-07-19,female,100,red,8,no preference,yes,>100K,no,8,1
1773,01-07-19,female,100,blue,3,no preference,yes,>100K,no,4,1
1774,01-07-19,male,100,red,9,no preference,no,Not Reported,no,9,0
1775,01-07-19,female,100,silver,5,specialty,no,>100K,no,8,1
1776,01-07-19,female,100,white,8,swirl,no,>100K,no,8,1
1777,01-07-19,male,100,no preference,5,vanilla,yes,Not Reported,no,10,0
1778,01-07-19,male,100,black,6,chocolate,yes,Not Reported,no,6,1
1779,01-07-19,male,100,blue,5,swirl,no,Not Reported,no,8,1
1780,01-07-19,female,100,red,10,no preference,yes,>100K,no,10,1
1781,01-07-19,female,100,silver,9,no preference,no,>100K,no,9,1
1782,01-07-19,male,100,white,3,specialty,yes,Not Reported,no,5,0
1783,01-07-19,female,100,silver,9,chocolate,no,>100K,no,9,1
1784,01-07-19,male,100,blue,8,swirl,no,Not Reported,no,8,1
1785,01-07-19,male,100,silver,6,vanilla,no,Not Reported,no,6,1
1786,01-07-19,male,100,no preference,1,specialty,no,Not Reported,no,10,0
1787,01-07-19,female,100,no preference,9,swirl,no,>100K,no,9,1
1788,01-07-19,female,100,black,5,chocolate,no,>100K,no,9,1
1789,01-07-19,female,100,no preference,10,specialty,yes,>100K,no,10,1
1790,01-07-19,female,100,no preference,9,specialty,no,>100K,no,10,1
1791,01-07-19,male,100,red,3,swirl,no,Not Reported,no,6,1
1792,01-07-19,male,100,silver,4,no preference,no,Not Reported,no,4,1
1793,01-07-19,female,100,white,4,no preference,yes,>100K,no,5,1
1794,01-07-19,female,100,black,3,vanilla,no,>100K,no,7,1
1795,01-07-19,male,100,red,9,specialty,yes,Not Reported,no,9,1
1796,01-07-19,female,100,silver,2,swirl,no,>100K,no,6,1
1797,01-07-19,female,100,red,0,chocolate,no,>100K,no,3,1
1798,01-07-19,female,100,no preference,1,no preference,no,>100K,no,10,1
1799,01-07-19,male,100,white,6,swirl,yes,Not Reported,no,7,0
1800,01-07-19,female,100,blue,4,chocolate,yes,>100K,no,7,1
1801,01-07-19,female,100,no preference,8,swirl,no,>100K,no,8,1
1802,01-07-19,female,100,black,3,chocolate,yes,>100K,no,7,1
1803,01-07-19,male,100,white,2,vanilla,yes,Not Reported,no,10,1
1804,01-07-19,female,100,blue,9,vanilla,no,>100K,no,9,1
1805,01-07-19,male,100,no preference,4,swirl,yes,Not Reported,no,8,0
1806,01-07-19,female,100,blue,8,swirl,no,>100K,no,8,1
1807,01-07-19,female,100,red,10,chocolate,no,>100K,no,10,1
1808,01-07-19,male,100,blue,10,specialty,no,Not Reported,no,10,1
1809,01-07-19,female,100,white,5,vanilla,no,>100K,no,7,1
1810,01-07-19,female,100,no preference,4,specialty,no,>100K,no,4,1
1811,01-07-19,female,100,blue,7,swirl,no,>100K,no,8,1
1812,01-07-19,female,100,red,3,vanilla,yes,>100K,no,5,1
1813,01-07-19,male,100,red,1,vanilla,no,Not Reported,no,6,1
1814,01-07-19,female,100,red,5,swirl,yes,>100K,no,5,1
1815,01-07-19,male,100,no preference,4,chocolate,yes,Not Reported,no,8,0
1816,01-07-19,female,100,silver,8,specialty,no,>100K,no,8,1
1817,01-07-19,female,100,no preference,9,chocolate,yes,>100K,no,10,1
1818,01-07-19,female,100,red,7,swirl,yes,>100K,no,10,1
1819,01-07-19,female,100,red,2,vanilla,no,>100K,no,8,1
1820,01-07-19,male,100,black,4,no preference,no,Not Reported,no,5,0
1821,01-07-19,female,100,red,2,vanilla,yes,>100K,no,7,1
1822,01-07-19,female,100,blue,1,no preference,yes,>100K,no,10,1
1823,01-07-19,female,100,no preference,1,chocolate,no,>100K,no,10,1
1824,01-07-19,female,100,white,0,vanilla,yes,>100K,no,9,1
1825,01-07-19,female,100,white,0,vanilla,yes,>100K,no,3,1
1826,01-07-19,female,100,black,1,specialty,no,>100K,no,10,1
1827,01-07-19,female,100,black,2,no preference,no,>100K,no,3,1
1828,01-07-19,female,100,black,2,chocolate,yes,>100K,no,6,1
1829,01-07-19,female,100,silver,0,swirl,yes,>100K,no,9,1
1830,01-07-19,male,100,no preference,9,no preference,yes,Not Reported,no,9,0
1831,01-07-19,male,100,silver,8,no preference,yes,Not Reported,no,8,1
1832,01-07-19,female,100,blue,8,chocolate,yes,>100K,no,8,1
1833,01-07-19,male,100,no preference,2,chocolate,no,Not Reported,no,9,0
1834,01-07-19,male,100,no preference,9,swirl,yes,Not Reported,no,9,0
1835,01-07-19,female,100,blue,6,no preference,no,>100K,no,6,1
1836,01-07-19,male,100,no preference,5,chocolate,no,Not Reported,no,5,0
1837,01-07-19,female,100,blue,4,swirl,no,>100K,no,5,1
1838,01-07-19,female,100,blue,3,swirl,yes,>100K,no,9,1
1839,01-07-19,female,100,white,7,swirl,yes,>100K,no,7,1
1840,01-07-19,male,100,white,6,chocolate,no,Not Reported,no,8,1
1841,01-07-19,male,100,red,0,specialty,no,Not Reported,no,3,1
1842,01-07-19,female,100,blue,9,swirl,yes,>100K,no,10,1
1843,01-07-19,female,100,white,9,specialty,no,>100K,no,10,1
1844,01-07-19,female,100,black,2,swirl,no,>100K,no,6,1
1845,01-07-19,female,100,red,6,swirl,yes,>100K,no,6,1
1846,01-07-19,male,100,white,4,no preference,no,Not Reported,no,4,1
1847,01-07-19,male,100,white,8,specialty,no,Not Reported,no,8,1
1848,01-07-19,female,100,blue,4,specialty,no,>100K,no,8,1
1849,01-07-19,male,100,black,3,no preference,no,Not Reported,no,8,0
1850,01-07-19,female,100,no preference,3,vanilla,yes,>100K,no,9,1
1851,01-07-19,female,100,white,7,no preference,yes,>100K,no,7,1
1852,01-07-19,female,100,blue,9,no preference,yes,>100K,no,9,1
1853,01-07-19,female,100,red,0,swirl,yes,>100K,no,1,1
1854,01-07-19,female,100,black,3,chocolate,yes,>100K,no,3,1
1855,01-07-19,female,100,red,6,chocolate,no,>100K,no,8,1
1856,01-07-19,female,100,no preference,1,chocolate,no,>100K,no,10,1
1857,01-07-19,female,100,black,5,swirl,yes,>100K,no,5,1
1858,01-07-19,female,100,no preference,2,chocolate,yes,>100K,no,8,1
1859,01-07-19,female,100,no preference,5,specialty,no,>100K,no,6,1
1860,01-07-19,female,100,black,1,specialty,no,>100K,no,8,1
1861,01-07-19,female,100,no preference,6,vanilla,yes,>100K,no,6,1
1862,01-07-19,male,100,black,2,swirl,yes,Not Reported,no,5,0
1863,01-07-19,male,100,no preference,4,no preference,no,Not Reported,no,6,0
1864,01-07-19,female,100,silver,8,chocolate,yes,>100K,no,8,1
1865,02-07-19,female,100,white,6,vanilla,no,>100K,no,7,1
1866,02-07-19,male,100,no preference,0,vanilla,no,Not Reported,no,6,0
1867,02-07-19,female,100,blue,7,vanilla,yes,>100K,no,7,1
1868,02-07-19,male,100,silver,9,swirl,no,Not Reported,no,9,1
1869,02-07-19,male,100,blue,6,swirl,no,Not Reported,no,6,0
1870,02-07-19,male,100,white,2,specialty,no,Not Reported,no,9,1
1871,02-07-19,male,100,red,6,swirl,yes,Not Reported,no,10,1
1872,02-07-19,female,100,black,10,swirl,yes,>100K,no,10,1
1873,02-07-19,male,100,white,9,specialty,no,Not Reported,no,9,1
1874,02-07-19,male,100,no preference,7,chocolate,yes,Not Reported,no,7,0
1875,02-07-19,female,100,blue,6,specialty,yes,>100K,no,8,1
1876,02-07-19,female,100,silver,4,vanilla,no,>100K,no,10,1
1877,02-07-19,male,100,silver,10,no preference,yes,Not Reported,no,10,1
1878,02-07-19,male,100,white,1,no preference,no,Not Reported,no,6,0
1879,02-07-19,female,100,red,9,swirl,yes,>100K,no,9,1
1880,02-07-19,female,100,blue,9,no preference,yes,>100K,no,9,1
1881,02-07-19,male,100,black,0,swirl,yes,Not Reported,no,6,1
1882,02-07-19,male,100,no preference,6,no preference,no,Not Reported,no,6,0
1883,02-07-19,female,100,black,8,swirl,no,>100K,no,8,1
1884,02-07-19,female,100,blue,7,chocolate,yes,>100K,no,7,1
1885,02-07-19,female,100,black,7,vanilla,no,>100K,no,7,1
1886,02-07-19,male,100,no preference,9,no preference,yes,Not Reported,no,9,0
1887,02-07-19,male,100,blue,2,no preference,no,Not Reported,no,6,0
1888,02-07-19,male,100,red,10,swirl,yes,Not Reported,no,10,1
1889,02-07-19,female,100,no preference,6,swirl,yes,>100K,no,8,1
1890,02-07-19,male,100,no preference,10,no preference,yes,Not Reported,no,10,0
1891,02-07-19,male,100,red,10,vanilla,yes,Not Reported,no,10,1
1892,02-07-19,female,100,blue,7,swirl,yes,>100K,no,7,1
1893,02-07-19,female,100,red,5,swirl,no,>100K,no,10,1
1894,02-07-19,female,100,red,0,vanilla,yes,>100K,no,3,1
1895,02-07-19,female,100,white,5,specialty,yes,>100K,no,8,1
1896,02-07-19,male,100,no preference,0,vanilla,no,Not Reported,no,1,0
1897,02-07-19,female,100,red,4,swirl,no,>100K,no,6,1
1898,02-07-19,female,100,black,3,vanilla,no,>100K,no,3,1
1899,02-07-19,male,100,red,1,specialty,yes,Not Reported,no,2,1
1900,02-07-19,male,100,white,8,specialty,yes,Not Reported,no,8,1
1901,02-07-19,male,100,no preference,7,specialty,yes,Not Reported,no,7,0
1902,02-07-19,female,100,blue,0,no preference,yes,>100K,no,6,1
1903,02-07-19,female,100,red,0,specialty,yes,>100K,no,6,1
1904,02-07-19,male,100,black,8,no preference,yes,Not Reported,no,8,1
1905,02-07-19,male,100,blue,4,chocolate,yes,Not Reported,no,8,1
1906,02-07-19,female,100,red,1,vanilla,no,>100K,no,6,1
1907,02-07-19,female,100,blue,6,no preference,no,>100K,no,6,1
1908,02-07-19,female,100,white,7,no preference,yes,>100K,no,7,1
1909,02-07-19,male,100,silver,1,vanilla,no,Not Reported,no,7,0
1910,02-07-19,female,100,red,6,chocolate,yes,>100K,no,7,1
1911,02-07-19,female,100,no preference,5,vanilla,no,>100K,no,5,1
1912,02-07-19,female,100,black,1,no preference,no,>100K,no,3,1
1913,02-07-19,male,100,blue,4,specialty,no,Not Reported,no,4,1
1914,02-07-19,female,100,blue,5,vanilla,no,>100K,no,5,1
1915,02-07-19,female,100,no preference,3,no preference,yes,>100K,no,3,1
1916,02-07-19,female,100,white,9,chocolate,no,>100K,no,9,1
1917,02-07-19,female,100,white,7,swirl,yes,>100K,no,7,1
1918,02-07-19,female,100,white,0,swirl,no,>100K,no,1,1
1919,02-07-19,female,100,black,7,vanilla,no,>100K,no,8,1
1920,02-07-19,male,100,silver,6,specialty,yes,Not Reported,no,6,0
1921,02-07-19,female,100,white,1,vanilla,yes,>100K,no,1,1
1922,02-07-19,male,100,silver,6,specialty,yes,Not Reported,no,10,1
1923,02-07-19,female,100,blue,0,no preference,no,>100K,no,6,1
1924,02-07-19,male,100,silver,9,chocolate,yes,Not Reported,no,9,1
1925,02-07-19,male,100,silver,10,no preference,yes,Not Reported,no,10,1
1926,02-07-19,female,100,white,7,no preference,yes,>100K,no,7,1
1927,02-07-19,female,100,silver,3,vanilla,yes,>100K,no,7,1
1928,02-07-19,male,100,silver,1,vanilla,no,Not Reported,no,8,1
1929,02-07-19,male,100,black,5,chocolate,yes,Not Reported,no,7,1
1930,02-07-19,female,100,silver,4,no preference,no,>100K,no,4,1
1931,02-07-19,female,100,silver,0,vanilla,yes,>100K,no,8,1
1932,02-07-19,female,100,white,1,specialty,no,>100K,no,4,1
1933,02-07-19,female,100,white,5,chocolate,yes,>100K,no,10,1
1934,02-07-19,female,100,silver,7,specialty,no,>100K,no,7,1
1935,02-07-19,female,100,blue,10,chocolate,no,>100K,no,10,1
1936,02-07-19,male,100,white,7,no preference,yes,Not Reported,no,9,0
1937,02-07-19,female,100,white,4,specialty,no,>100K,no,6,1
1938,02-07-19,female,100,blue,4,swirl,yes,>100K,no,4,1
1939,02-07-19,female,100,white,9,specialty,yes,>100K,no,9,1
1940,02-07-19,female,100,no preference,1,chocolate,yes,>100K,no,4,1
1941,02-07-19,female,100,red,2,no preference,yes,>100K,no,8,1
1942,02-07-19,female,100,silver,7,vanilla,yes,>100K,no,7,1
1943,02-07-19,female,100,red,7,specialty,yes,>100K,no,7,1
1944,02-07-19,male,100,no preference,2,no preference,yes,Not Reported,no,7,0
1945,02-07-19,male,100,white,10,no preference,no,Not Reported,no,10,0
1946,02-07-19,male,100,no preference,3,chocolate,no,Not Reported,no,8,0
1947,02-07-19,male,100,red,2,swirl,yes,Not Reported,no,10,1
1948,02-07-19,female,100,black,7,no preference,yes,>100K,no,7,1
1949,02-07-19,male,100,red,10,vanilla,yes,Not Reported,no,10,1
1950,02-07-19,male,100,blue,1,chocolate,yes,Not Reported,no,7,1
1951,02-07-19,female,100,no preference,3,chocolate,no,>100K,no,10,1
1952,02-07-19,female,100,white,3,vanilla,no,>100K,no,5,1
1953,02-07-19,female,100,red,0,specialty,no,>100K,no,6,1
1954,02-07-19,female,100,no preference,8,chocolate,no,>100K,no,8,1
1955,02-07-19,male,100,red,8,vanilla,no,Not Reported,no,8,1
1956,02-07-19,female,100,no preference,3,specialty,no,>100K,no,8,1
1957,02-07-19,female,100,black,7,chocolate,yes,>100K,no,10,1
1958,02-07-19,male,100,black,10,chocolate,yes,Not Reported,no,10,1
1959,02-07-19,female,100,no preference,2,chocolate,no,>100K,no,4,1
1960,02-07-19,female,100,red,3,no preference,no,>100K,no,4,1
1961,02-07-19,male,100,white,4,specialty,no,Not Reported,no,4,1
1962,02-07-19,male,100,red,3,vanilla,no,Not Reported,no,3,1
1963,02-07-19,female,100,white,9,no preference,no,>100K,no,9,1
1964,02-07-19,female,100,blue,7,vanilla,yes,>100K,no,8,1
1965,02-07-19,female,100,red,8,no preference,yes,>100K,no,8,1
1966,02-07-19,male,100,blue,7,vanilla,no,Not Reported,no,7,0
1967,02-07-19,male,100,black,5,swirl,yes,Not Reported,no,8,1
1968,02-07-19,female,100,red,7,swirl,yes,>100K,no,7,1
1969,02-07-19,female,100,black,7,specialty,yes,>100K,no,10,1
1970,02-07-19,female,100,silver,4,specialty,yes,>100K,no,5,1
1971,02-07-19,male,100,no preference,7,specialty,yes,Not Reported,no,7,0
1972,02-07-19,female,100,red,7,no preference,yes,>100K,no,9,1
1973,02-07-19,female,100,silver,5,swirl,no,>100K,no,5,1
1974,02-07-19,female,100,black,1,no preference,no,>100K,no,8,1
1975,02-07-19,female,100,red,2,vanilla,yes,>100K,no,8,1
1976,02-07-19,female,100,black,6,chocolate,no,>100K,no,8,1
1977,02-07-19,female,100,white,0,specialty,no,>100K,no,4,1
1978,02-07-19,male,100,no preference,2,specialty,no,Not Reported,no,5,0
1979,02-07-19,male,100,black,6,chocolate,yes,Not Reported,no,7,1
1980,02-07-19,female,100,blue,6,no preference,no,>100K,no,6,1
1981,02-07-19,female,100,blue,6,no preference,no,>100K,no,6,1
1982,02-07-19,female,100,no preference,5,chocolate,no,>100K,no,5,1
1983,02-07-19,male,100,silver,4,specialty,no,Not Reported,no,6,1
1984,02-07-19,male,100,black,1,chocolate,yes,Not Reported,no,5,1
1985,02-07-19,female,100,red,1,chocolate,no,>100K,no,3,1
1986,02-07-19,female,100,no preference,1,vanilla,yes,>100K,no,5,1
1987,02-07-19,female,100,red,4,no preference,no,>100K,no,4,1
1988,02-07-19,female,100,black,0,chocolate,yes,>100K,no,6,1
1989,02-07-19,female,100,no preference,3,chocolate,no,>100K,no,6,1
1990,02-07-19,male,100,silver,4,vanilla,yes,Not Reported,no,6,0
1991,02-07-19,female,100,black,0,chocolate,no,>100K,no,5,1
1992,02-07-19,female,100,no preference,9,chocolate,no,>100K,no,9,1
1993,02-07-19,female,100,white,1,no preference,yes,>100K,no,2,1
1994,02-07-19,male,100,silver,10,vanilla,no,Not Reported,no,10,1
1995,02-07-19,female,100,blue,1,chocolate,no,>100K,no,9,1
1996,02-07-19,male,100,silver,0,swirl,no,Not Reported,no,3,0
1997,02-07-19,male,100,no preference,8,chocolate,no,Not Reported,no,8,0
1998,02-07-19,male,100,silver,6,chocolate,yes,Not Reported,no,6,1
1999,02-07-19,female,100,silver,0,vanilla,no,>100K,no,1,1
2000,02-07-19,male,100,white,4,no preference,no,Not Reported,no,4,1
2001,02-07-19,female,100,red,8,vanilla,yes,>100K,no,8,1
2002,02-07-19,male,100,silver,6,chocolate,no,Not Reported,no,7,1
2003,02-07-19,female,100,black,6,vanilla,yes,>100K,no,6,1
2004,02-07-19,male,100,red,1,vanilla,no,Not Reported,no,9,1
2005,02-07-19,male,100,white,10,vanilla,yes,Not Reported,no,10,1
2006,02-07-19,female,100,blue,4,specialty,yes,>100K,no,8,1
2007,02-07-19,male,100,black,3,chocolate,yes,Not Reported,no,6,1
2008,02-07-19,female,100,no preference,10,vanilla,no,>100K,no,10,1
2009,02-07-19,female,100,silver,1,swirl,no,>100K,no,7,1
2010,02-07-19,female,100,red,3,chocolate,yes,>100K,no,4,1
2011,02-07-19,female,100,silver,0,swirl,yes,>100K,no,9,1
2012,02-07-19,male,100,blue,2,swirl,no,Not Reported,no,7,0
2013,02-07-19,female,100,silver,7,chocolate,no,>100K,no,7,1
2014,02-07-19,female,100,white,0,swirl,yes,>100K,no,7,1
2015,02-07-19,female,100,blue,0,chocolate,yes,>100K,no,6,1
2016,02-07-19,male,100,blue,7,chocolate,yes,Not Reported,no,7,1
2017,02-07-19,male,100,no preference,2,swirl,no,Not Reported,no,6,0
2018,02-07-19,female,100,black,7,chocolate,yes,>100K,no,7,1
2019,02-07-19,female,100,silver,9,no preference,yes,>100K,no,9,1
2020,02-07-19,female,100,black,1,swirl,no,>100K,no,10,1
2021,02-07-19,female,100,no preference,10,vanilla,no,>100K,no,10,1
2022,02-07-19,female,100,black,6,no preference,no,>100K,no,6,1
2023,02-07-19,male,100,white,7,swirl,yes,Not Reported,no,7,0
2024,02-07-19,male,100,blue,9,swirl,no,Not Reported,no,9,1
2025,02-07-19,female,100,blue,7,specialty,no,>100K,no,7,1
2026,02-07-19,female,100,black,5,no preference,yes,>100K,no,6,1
2027,02-07-19,female,100,white,4,vanilla,yes,>100K,no,4,1
2028,02-07-19,female,100,silver,9,swirl,yes,>100K,no,9,1
2029,02-07-19,female,100,black,2,chocolate,yes,>100K,no,10,1
2030,02-07-19,male,100,no preference,7,no preference,no,Not Reported,no,8,0
2031,02-07-19,male,100,silver,6,specialty,no,Not Reported,no,6,0
2032,02-07-19,female,100,black,7,chocolate,no,>100K,no,7,1
2033,02-07-19,male,100,black,0,specialty,no,Not Reported,no,1,1
2034,02-07-19,female,100,red,4,no preference,no,>100K,no,9,1
2035,02-07-19,female,100,no preference,4,vanilla,yes,>100K,no,4,1
2036,02-07-19,female,100,white,8,swirl,yes,>100K,no,8,1
2037,02-07-19,male,100,blue,8,vanilla,no,Not Reported,no,8,1
2038,02-07-19,female,100,black,9,no preference,no,>100K,no,10,1
2039,02-07-19,female,100,no preference,0,specialty,yes,>100K,no,7,1
2040,02-07-19,female,100,white,0,vanilla,no,>100K,no,6,1
2041,02-07-19,male,100,black,0,no preference,no,Not Reported,no,4,1
2042,02-07-19,male,100,white,8,no preference,no,Not Reported,no,8,0
2043,02-07-19,female,100,white,9,chocolate,no,>100K,no,9,1
2044,02-07-19,female,100,white,10,vanilla,no,>100K,no,10,1
2045,02-07-19,female,100,white,4,vanilla,no,>100K,no,4,1
2046,02-07-19,female,100,blue,3,vanilla,yes,>100K,no,3,1
2047,02-07-19,male,100,red,10,no preference,yes,Not Reported,no,10,1
2048,02-07-19,female,100,white,6,chocolate,no,>100K,no,9,1
2049,02-07-19,male,100,white,6,specialty,no,Not Reported,no,6,0
2050,02-07-19,female,100,white,9,swirl,yes,>100K,no,9,1
2051,02-07-19,male,100,red,2,swirl,yes,Not Reported,no,4,1
2052,02-07-19,female,100,black,10,vanilla,yes,>100K,no,10,1
2053,02-07-19,female,100,black,7,no preference,yes,>100K,no,7,1
2054,02-07-19,female,100,black,2,swirl,yes,>100K,no,4,1
2055,02-07-19,female,100,red,2,specialty,no,>100K,no,5,1
2056,02-07-19,female,100,silver,0,no preference,no,>100K,no,8,1
2057,02-07-19,female,100,red,8,no preference,no,>100K,no,8,1
2058,02-07-19,male,100,blue,9,swirl,yes,Not Reported,no,9,1
2059,02-07-19,female,100,silver,4,specialty,no,>100K,no,6,1
2060,02-07-19,male,100,no preference,1,swirl,yes,Not Reported,no,4,0
2061,02-07-19,male,100,white,10,swirl,yes,Not Reported,no,10,1
2062,02-07-19,male,100,white,8,specialty,no,Not Reported,no,8,1
2063,02-07-19,female,100,black,3,no preference,yes,>100K,no,3,1
2064,02-07-19,female,100,silver,10,chocolate,yes,>100K,no,10,1
2065,02-07-19,female,100,blue,6,no preference,yes,>100K,no,6,1
2066,02-07-19,male,100,no preference,8,swirl,no,Not Reported,no,8,0
2067,02-07-19,female,100,no preference,1,swirl,no,>100K,no,9,1
2068,02-07-19,female,100,white,3,vanilla,no,>100K,no,5,1
2069,02-07-19,female,100,red,6,vanilla,no,>100K,no,6,1
2070,02-07-19,male,100,blue,3,specialty,no,Not Reported,no,4,0
2071,02-07-19,male,100,silver,4,specialty,yes,Not Reported,no,7,0
2072,02-07-19,male,100,silver,7,specialty,no,Not Reported,no,10,1
2073,02-07-19,female,100,blue,3,specialty,yes,>100K,no,10,1
2074,02-07-19,female,100,white,9,swirl,no,>100K,no,9,1
2075,02-07-19,male,100,silver,6,chocolate,yes,Not Reported,no,6,1
2076,02-07-19,male,100,blue,6,vanilla,yes,Not Reported,no,10,1
2077,02-07-19,male,100,no preference,1,no preference,no,Not Reported,no,7,0
2078,02-07-19,female,100,blue,1,specialty,no,>100K,no,10,1
2079,02-07-19,female,100,black,8,no preference,no,>100K,no,8,1
2080,02-07-19,female,100,black,7,no preference,no,>100K,no,8,1
2081,02-07-19,female,100,red,4,vanilla,yes,>100K,no,5,1
2082,02-07-19,male,100,silver,5,swirl,no,Not Reported,no,6,1
2083,02-07-19,female,100,silver,2,chocolate,yes,>100K,no,3,1
2084,02-07-19,female,100,no preference,0,vanilla,no,>100K,no,6,1
2085,02-07-19,female,100,black,8,swirl,yes,>100K,no,8,1
2086,02-07-19,female,100,white,0,specialty,yes,>100K,no,9,1
2087,02-07-19,male,100,blue,9,vanilla,no,Not Reported,no,9,1
2088,02-07-19,female,100,red,4,vanilla,yes,>100K,no,10,1
2089,02-07-19,female,100,black,1,no preference,no,>100K,no,3,1
2090,02-07-19,female,100,black,7,vanilla,no,>100K,no,7,1
2091,02-07-19,female,100,no preference,8,no preference,yes,>100K,no,8,1
2092,02-07-19,female,100,black,5,vanilla,yes,>100K,no,7,1
2093,02-07-19,male,100,black,1,no preference,yes,Not Reported,no,3,0
2094,02-07-19,female,100,white,4,swirl,no,>100K,no,4,1
2095,02-07-19,male,100,silver,7,no preference,no,Not Reported,no,7,0
2096,02-07-19,female,100,red,9,vanilla,no,>100K,no,9,1
2097,02-07-19,male,100,white,9,no preference,yes,Not Reported,no,9,1
2098,02-07-19,female,100,white,7,vanilla,yes,>100K,no,9,1
2099,02-07-19,female,100,silver,5,specialty,no,>100K,no,5,1
2100,02-07-19,female,100,silver,2,no preference,yes,>100K,no,2,1
2101,02-07-19,female,100,blue,0,no preference,yes,>100K,no,9,1
2102,02-07-19,male,100,no preference,10,vanilla,no,Not Reported,no,10,0
2103,02-07-19,male,100,blue,4,specialty,no,Not Reported,no,10,1
2104,02-07-19,female,100,silver,10,chocolate,no,>100K,no,10,1
2105,02-07-19,female,100,no preference,9,swirl,no,>100K,no,9,1
2106,02-07-19,male,100,silver,6,specialty,no,Not Reported,no,8,1
2107,02-07-19,female,100,black,9,swirl,no,>100K,no,9,1
2108,02-07-19,male,100,no preference,3,chocolate,yes,Not Reported,no,3,0
2109,02-07-19,female,100,silver,0,no preference,no,>100K,no,3,1
2110,02-07-19,female,100,black,4,no preference,no,>100K,no,8,1
2111,02-07-19,female,100,black,0,chocolate,yes,>100K,no,4,1
2112,02-07-19,female,100,blue,1,specialty,no,>100K,no,6,1
2113,02-07-19,male,100,blue,6,no preference,no,Not Reported,no,8,0
2114,02-07-19,female,100,red,5,vanilla,no,>100K,no,6,1
2115,02-07-19,female,100,red,9,chocolate,no,>100K,no,9,1
2116,02-07-19,female,100,red,10,specialty,yes,>100K,no,10,1
2117,02-07-19,female,100,no preference,4,swirl,yes,>100K,no,10,1
2118,02-07-19,male,100,silver,1,no preference,no,Not Reported,no,9,0
2119,02-07-19,male,100,no preference,9,swirl,no,Not Reported,no,9,0
2120,02-07-19,male,100,red,4,chocolate,no,Not Reported,no,5,1
2121,02-07-19,male,100,silver,10,swirl,yes,Not Reported,no,10,1
2122,02-07-19,male,100,white,6,swirl,no,Not Reported,no,6,1
2123,02-07-19,female,100,silver,10,chocolate,yes,>100K,no,10,1
2124,02-07-19,male,100,blue,10,chocolate,yes,Not Reported,no,10,1
2125,02-07-19,female,100,no preference,9,swirl,yes,>100K,no,9,1
2126,02-07-19,female,100,red,4,specialty,yes,>100K,no,8,1
2127,02-07-19,female,100,blue,6,swirl,no,>100K,no,7,1
2128,02-07-19,male,100,black,3,vanilla,no,Not Reported,no,3,0
2129,02-07-19,female,100,white,2,chocolate,yes,>100K,no,5,1
2130,02-07-19,female,100,silver,5,no preference,no,>100K,no,5,1
2131,02-07-19,female,100,red,0,swirl,no,>100K,no,1,1
