Location,Year,FuelType,Transmission,Owner,Efficiency,Engine_cc,Seats,Km,Price
Chennai,2009,Gasoline,Automatic,Third,15,1396,5,"72,000","$4,563 "
Hyderabad,2006,Gasoline,Manual,First,19.7,796,5,"71,993","$2,527 "
Delhi,2013,Diesel,Automatic,First,12.6,2982,7,"71,932","$23,164 "
Mumbai,2013,Diesel,Manual,First,24,1120,5,"71,904","$6,472 "
Pune,2014,Diesel,Manual,First,20.8,1248,7,"71,899","$10,178 "
Ahmedabad,2015,Diesel,Automatic,First,19.3,1968,5,"71,826","$21,760 "
Hyderabad,2013,Diesel,Manual,First,20.5,1598,5,"71,803","$8,072 "
Delhi,2014,Diesel,Manual,First,23.4,1248,5,"71,800","$4,071 "
Hyderabad,2012,Gasoline,Manual,First,14,796,5,"71,791","$2,878 "
Kochi,2012,Gasoline,Manual,First,12.9,1598,5,"71,787","$4,507 "
Kochi,2011,Gasoline,Automatic,First,14.7,1991,5,"71,703","$12,832 "
Jaipur,2014,Diesel,Manual,First,25.1,1498,5,"71,649","$9,476 "
Kolkata,2007,Gasoline,Manual,Second,20.4,1197,5,"71,600","$2,808 "
Hyderabad,2012,Diesel,Manual,First,20,1399,5,"71,558","$4,633 "
Hyderabad,2011,Gasoline,Manual,First,17,1497,5,"71,556","$7,721 "
Delhi,2009,Gasoline,Manual,First,17,1497,5,"71,499","$4,212 "
Hyderabad,2013,Diesel,Manual,First,23.1,1461,5,"71,491","$6,949 "
Pune,2010,Gasoline,Automatic,Second,13.7,1798,5,"71,473","$7,511 "
Bangalore,2009,Gasoline,Manual,Third,17,1497,5,"71,400","$5,335 "
Kochi,2014,Diesel,Manual,First,22.7,1498,5,"71,390","$7,399 "
Hyderabad,2012,Diesel,Manual,First,21.9,1396,5,"71,360","$5,545 "
Hyderabad,2009,Gasoline,Manual,First,17.5,1298,5,"71,346","$5,335 "
Hyderabad,2013,Diesel,Manual,First,20,1399,5,"71,336","$5,756 "
Mumbai,2014,Gasoline,Manual,First,13.1,1598,5,"71,300","$5,967 "
Coimbatore,2017,Diesel,Manual,First,24.3,1248,5,"71,256","$13,449 "
Bangalore,2013,Diesel,Manual,Second,16,2179,7,"71,231","$13,688 "
Jaipur,2012,Gasoline,Manual,Third,17,1197,5,"71,172","$4,914 "
Chennai,2016,Diesel,Manual,First,26.6,1248,5,"71,156","$9,125 "
Delhi,2010,Gasoline,Manual,First,13.5,1799,5,"71,088","$4,703 "
Delhi,2012,Diesel,Manual,First,19.3,1248,5,"71,082","$5,545 "
Ahmedabad,2013,Diesel,Manual,First,23.1,1461,5,"71,007","$5,475 "
Hyderabad,2016,Diesel,Manual,First,25.8,1498,5,"71,000","$7,160 "
Jaipur,2014,Diesel,Manual,First,25.2,1248,5,"71,000","$6,739 "
Pune,2014,Diesel,Manual,First,25.1,1498,5,"71,000","$10,459 "
Delhi,2012,Diesel,Manual,First,23,1396,5,"71,000","$5,194 "
Delhi,2013,Diesel,Automatic,First,22.7,1582,5,"71,000","$9,547 "
Pune,2010,Diesel,Manual,First,21.1,1248,5,"71,000","$4,212 "
Hyderabad,2010,Diesel,Manual,First,20.5,1598,5,"71,000","$5,967 "
Pune,2011,Gasoline,Manual,First,20.5,998,5,"71,000","$3,650 "
Jaipur,2010,Diesel,Manual,First,19.3,1248,5,"71,000","$4,633 "
Pune,2010,Gasoline,Manual,First,18.9,998,5,"71,000","$2,808 "
Pune,2013,Diesel,Automatic,First,18.9,1995,5,"71,000","$21,059 "
Ahmedabad,2013,Diesel,Manual,First,18.2,1248,8,"71,000","$4,563 "
Delhi,2013,Gasoline,Manual,First,17,1197,5,"71,000","$5,124 "
Hyderabad,2010,Gasoline,Manual,First,16.1,1197,5,"71,000","$4,633 "
Delhi,2013,Diesel,Automatic,First,14.2,1968,5,"71,000","$30,184 "
Delhi,2013,Diesel,Manual,First,13,2982,7,"71,000","$21,410 "
Delhi,2008,Gasoline,Automatic,First,8.3,4134,7,"71,000","$16,833 "
Pune,2014,Diesel,Manual,Second,25.8,1498,5,"71,000","$6,318 "
Chennai,2014,Diesel,Manual,Second,25.1,1498,5,"71,000","$8,704 "
Mumbai,2014,Diesel,Automatic,Second,19.1,1582,5,"71,000","$7,651 "
Jaipur,2007,Gasoline,Manual,Second,18.9,998,5,"71,000","$2,106 "
Bangalore,2011,Diesel,Manual,Third,13.1,2499,7,"71,000","$9,757 "
Coimbatore,2013,Diesel,Automatic,First,17.7,1968,5,"70,998","$28,878 "
Kochi,2014,Diesel,Manual,First,15.1,2179,7,"70,963","$10,993 "
Jaipur,2013,Diesel,Manual,First,25.8,1498,5,"70,961","$5,616 "
Jaipur,2013,Diesel,Manual,Second,21.9,1396,5,"70,933","$5,475 "
Chennai,2014,Diesel,Manual,First,20.1,1498,5,"70,920","$6,669 "
Chennai,2011,Gasoline,Automatic,First,17,1197,5,"70,816","$4,352 "
Kochi,2010,Gasoline,Automatic,First,12.1,1995,5,"70,749","$13,842 "
Delhi,2012,Diesel,Manual,First,22.3,1582,5,"70,707","$6,009 "
Bangalore,2012,Gasoline,Manual,First,11.3,2694,7,"70,704","$15,373 "
Mumbai,2008,Diesel,Manual,First,13,2494,8,"70,700","$6,669 "
Jaipur,2014,Diesel,Manual,First,15.1,2179,7,"70,669","$12,635 "
Kolkata,2015,Gasoline,Manual,First,15,1598,5,"70,623","$5,602 "
Coimbatore,2015,Diesel,Manual,First,25.8,1498,5,"70,602","$6,781 "
Hyderabad,2010,Gasoline,Manual,First,20.4,1197,5,"70,600","$3,931 "
Kochi,2016,CNG,Manual,First,31.8,998,5,"70,536","$6,430 "
Bangalore,2009,Gasoline,Automatic,Second,10.9,2497,5,"70,521","$14,460 "
Pune,2010,Gasoline,Manual,First,15.6,1193,5,"70,500","$2,106 "
Coimbatore,2014,Diesel,Manual,First,22.7,1498,5,"70,374","$10,305 "
Bangalore,2013,Diesel,Manual,First,12.1,2179,8,"70,359","$10,740 "
Hyderabad,2012,Diesel,Manual,First,20,1399,5,"70,337","$3,931 "
Pune,2010,Gasoline,Manual,Second,17.2,1198,5,"70,290","$4,156 "
Hyderabad,2011,Diesel,Manual,First,21.1,1248,5,"70,259","$4,142 "
Mumbai,2010,Gasoline,Automatic,First,14.5,1798,5,"70,200","$7,020 "
Hyderabad,2013,Diesel,Automatic,First,17.7,1968,5,"70,181","$33,680 "
Hyderabad,2014,Gasoline,Manual,First,18.6,1197,5,"70,089","$7,511 "
Chennai,2014,Diesel,Manual,First,20.5,1598,5,"70,010","$7,370 "
Ahmedabad,2010,Diesel,Manual,First,16.2,1493,5,"70,002","$4,843 "
Pune,2015,CNG,Manual,First,26.2,998,5,"70,000","$5,124 "
Jaipur,2010,LPG,Manual,First,26.2,998,5,"70,000","$3,187 "
Chennai,2016,Diesel,Manual,First,25.8,1498,5,"70,000","$6,458 "
Jaipur,2016,Diesel,Manual,First,23.7,1248,5,"70,000","$12,425 "
Delhi,2013,Diesel,Manual,First,22.9,1248,5,"70,000","$4,914 "
Kolkata,2011,Diesel,Automatic,First,22.7,1995,5,"70,000","$14,460 "
Chennai,2012,Diesel,Manual,First,21.9,1396,5,"70,000","$5,616 "
Delhi,2012,Diesel,Manual,First,21.6,1461,5,"70,000","$3,636 "
Jaipur,2016,Gasoline,Manual,First,21.1,814,5,"70,000","$4,212 "
Jaipur,2013,Gasoline,Manual,First,21.1,814,5,"70,000","$2,527 "
Hyderabad,2011,Gasoline,Manual,First,20.9,998,5,"70,000","$2,948 "
Kolkata,2013,Diesel,Manual,First,20.8,1248,7,"70,000","$7,651 "
Chennai,2012,Gasoline,Manual,First,20.4,1197,5,"70,000","$4,422 "
Jaipur,2011,Gasoline,Manual,First,19.8,1086,5,"70,000","$3,018 "
Pune,2015,Diesel,Manual,First,19.7,1582,5,"70,000","$17,198 "
Bangalore,2014,Diesel,Manual,First,19.6,1461,5,"70,000","$11,582 "
Bangalore,2014,Diesel,Manual,First,19,1461,5,"70,000","$11,582 "
Pune,2011,Gasoline,Manual,First,19,998,5,"70,000","$2,808 "
Delhi,2010,Gasoline,Manual,First,19,998,5,"70,000","$2,808 "
Mumbai,2010,Gasoline,Manual,First,18.9,998,5,"70,000","$2,948 "
Chennai,2014,Diesel,Automatic,First,18.9,1995,5,"70,000","$24,638 "
Pune,2013,Diesel,Manual,First,17.9,1405,5,"70,000","$2,527 "
Pune,2017,Gasoline,Manual,First,17.6,1193,5,"70,000","$6,318 "
Chennai,2014,Diesel,Automatic,First,17.1,1968,5,"70,000","$25,270 "
Pune,2013,Gasoline,Manual,First,17,1591,5,"70,000","$6,669 "
Mumbai,2009,Gasoline,Manual,First,17,1497,5,"70,000","$2,948 "
Mumbai,2007,Gasoline,Manual,First,16.9,1497,5,"70,000","$2,176 "
Hyderabad,2011,Diesel,Manual,First,16.8,1493,5,"70,000","$7,160 "
Delhi,2014,Gasoline,Manual,First,16.8,1496,5,"70,000","$4,563 "
Pune,2011,Gasoline,Manual,First,16.1,1298,5,"70,000","$1,825 "
Mumbai,2013,Diesel,Automatic,First,15.2,2967,5,"70,000","$56,156 "
Delhi,2011,Diesel,Automatic,First,14.2,2143,5,"70,000","$18,251 "
Pune,2009,Diesel,Manual,First,14,2498,7,"70,000","$4,001 "
Ahmedabad,2009,Gasoline,Manual,First,13.5,1799,5,"70,000","$5,967 "
Delhi,2008,Gasoline,Manual,First,13.1,1997,5,"70,000","$5,616 "
Ahmedabad,2015,Diesel,Manual,First,13,2494,7,"70,000","$16,847 "
Delhi,2016,Diesel,Automatic,First,13,2179,5,"70,000","$49,137 "
Kolkata,2011,Diesel,Manual,First,12.8,2494,8,"70,000","$8,423 "
Delhi,2015,Diesel,Automatic,First,11.5,2982,7,"70,000","$27,348 "
Chennai,2007,Diesel,Automatic,First,11,2987,5,"70,000","$15,443 "
Delhi,2013,Diesel,Automatic,First,10,2148,5,"70,000","$22,182 "
Chennai,2012,Diesel,Manual,Second,22.7,1461,5,"70,000","$5,616 "
Pune,2016,Diesel,Automatic,Second,21.8,1995,5,"70,000","$37,905 "
Hyderabad,2007,Gasoline,Manual,Second,19.8,1086,5,"70,000","$2,808 "
Mumbai,2012,Gasoline,Manual,Second,19.4,1198,5,"70,000","$3,510 "
Jaipur,1999,Gasoline,Manual,Second,17.3,993,5,"70,000","$1,081 "
Jaipur,2010,Gasoline,Manual,Second,16.1,796,4,"70,000","$1,264 "
Pune,2013,Gasoline,Manual,Second,15.4,1193,5,"70,000","$2,106 "
Chennai,2011,Gasoline,Manual,Second,15.3,1598,5,"70,000","$4,619 "
Delhi,2013,Diesel,Automatic,Second,13.7,1995,5,"70,000","$11,933 "
Jaipur,2014,Diesel,Manual,Second,13.5,2477,7,"70,000","$16,636 "
Chennai,2003,Gasoline,Manual,Second,13.4,1794,5,"70,000","$2,387 "
Delhi,2011,Gasoline,Manual,Second,13.4,1798,5,"70,000","$6,669 "
Ahmedabad,2011,Diesel,Manual,Second,12.1,2179,8,"70,000","$10,459 "
Pune,2009,Gasoline,Manual,Third,14.5,1798,5,"70,000","$4,212 "
Hyderabad,2008,Gasoline,Manual,First,13.5,1799,5,"69,972","$5,335 "
Pune,2003,Gasoline,Manual,First,19.7,796,5,"69,966","$1,334 "
Coimbatore,2014,Diesel,Manual,First,21.4,1364,5,"69,918","$13,239 "
Kochi,2010,Gasoline,Manual,First,15.5,1586,5,"69,918","$3,973 "
Delhi,2014,Gasoline,Manual,First,18,1198,5,"69,876","$5,475 "
Pune,2004,Gasoline,Manual,Second,14.2,1597,5,"69,870","$1,544 "
Hyderabad,2007,Gasoline,Manual,Second,17.9,1086,5,"69,775","$2,597 "
Delhi,2011,Gasoline,Manual,First,16,1198,5,"69,768","$4,071 "
Kochi,2015,Diesel,Manual,First,18.6,1388,5,"69,749","$5,363 "
Kochi,2009,Gasoline,Manual,First,17.7,1497,5,"69,690","$4,619 "
Kochi,2016,Gasoline,Manual,First,17,1197,5,"69,681","$8,606 "
Jaipur,2013,Diesel,Manual,Second,22.3,1582,5,"69,573","$8,213 "
Mumbai,2014,Diesel,Manual,First,22.7,1498,5,"69,565","$7,792 "
Chennai,2016,Gasoline,Manual,First,15.8,1591,5,"69,434","$11,231 "
Bangalore,2014,Diesel,Automatic,First,16.1,1995,5,"69,330","$32,992 "
Delhi,2011,Gasoline,Manual,Second,17.5,1197,5,"69,313","$3,720 "
Mumbai,2010,Gasoline,Automatic,Second,10.8,2497,5,"69,300","$17,549 "
Bangalore,2012,Gasoline,Manual,First,19.1,1197,5,"69,242","$6,584 "
Mumbai,2014,Gasoline,Manual,First,16,1373,7,"69,192","$8,774 "
Hyderabad,2015,Diesel,Manual,First,23.6,1364,5,"69,189","$7,441 "
Kochi,2013,Diesel,Manual,First,20.5,1461,5,"69,140","$7,174 "
Mumbai,2015,Diesel,Automatic,First,18.9,1995,5,"69,123","$26,674 "
Coimbatore,2015,Gasoline,Automatic,First,18.9,1197,5,"69,053","$8,030 "
Mumbai,2010,Gasoline,Manual,Second,15.6,1196,5,"69,009","$3,369 "
Pune,2015,Diesel,Automatic,First,16,2993,5,"69,002","$70,195 "
Ahmedabad,2015,Diesel,Manual,First,26.6,1248,5,"69,000","$8,283 "
Mumbai,2017,Diesel,Manual,First,25.4,1186,5,"69,000","$4,984 "
Hyderabad,2013,Diesel,Manual,First,23.4,1248,5,"69,000","$8,072 "
Mumbai,2013,Diesel,Manual,First,23.1,1461,5,"69,000","$4,212 "
Hyderabad,2013,Diesel,Manual,First,22.7,1498,5,"69,000","$10,108 "
Delhi,2014,Diesel,Manual,First,22.7,1498,5,"69,000","$7,651 "
Pune,2012,Gasoline,Manual,First,20.9,998,5,"69,000","$2,948 "
Hyderabad,2011,Diesel,Manual,First,20.5,1598,5,"69,000","$6,598 "
Bangalore,2010,Gasoline,Manual,First,20.4,1197,5,"69,000","$4,071 "
Hyderabad,2014,Diesel,Manual,First,20.1,1498,5,"69,000","$7,286 "
Jaipur,2014,Gasoline,Manual,First,19.5,1199,5,"69,000","$6,318 "
Hyderabad,2016,Diesel,Manual,First,19.3,1248,5,"69,000","$6,725 "
Hyderabad,2012,Diesel,Automatic,First,18.9,1995,5,"69,000","$25,972 "
Kolkata,2002,Diesel,Manual,First,18.7,1896,5,"69,000","$2,246 "
Kolkata,2008,Gasoline,Manual,First,17.7,1497,5,"69,000","$3,791 "
Delhi,2013,Gasoline,Automatic,First,17.2,1197,5,"69,000","$6,318 "
Mumbai,2014,Diesel,Automatic,First,17.1,1995,5,"69,000","$22,813 "
Ahmedabad,2014,Gasoline,Automatic,First,16.9,1197,5,"69,000","$7,370 "
Pune,2012,Gasoline,Manual,First,16.8,1497,5,"69,000","$6,879 "
Hyderabad,2006,Gasoline,Manual,First,16.6,1388,5,"69,000","$3,018 "
Hyderabad,2015,Diesel,Automatic,First,16,2993,5,"69,000","$75,811 "
Delhi,2016,Gasoline,Manual,First,15.8,1591,5,"69,000","$13,618 "
Delhi,2013,Diesel,Manual,First,12.6,2982,7,"69,000","$20,286 "
Hyderabad,2016,Diesel,Automatic,First,11.4,2755,7,"69,000","$27,727 "
Mumbai,2008,Gasoline,Manual,Second,20.4,1197,5,"69,000","$3,018 "
Pune,2011,Gasoline,Manual,Second,19,998,5,"69,000","$2,738 "
Chennai,2009,Gasoline,Manual,Second,18.5,1197,5,"69,000","$3,369 "
Mumbai,2010,Gasoline,Automatic,Second,16.8,1497,5,"69,000","$4,001 "
Delhi,2012,Diesel,Automatic,Second,15.2,1968,5,"69,000","$14,390 "
Jaipur,2014,Diesel,Manual,Second,13,2982,7,"69,000","$28,078 "
Mumbai,2007,Gasoline,Automatic,Second,12.9,1799,5,"69,000","$3,159 "
Kochi,2013,Gasoline,Manual,First,17,1498,5,"68,880","$5,573 "
Pune,2014,Diesel,Manual,First,15.1,1598,5,"68,865","$6,739 "
Hyderabad,2010,Diesel,Automatic,First,14.8,2143,5,"68,782","$17,549 "
Hyderabad,2012,Gasoline,Manual,First,21.1,1197,5,"68,776","$5,475 "
Hyderabad,2015,Gasoline,Manual,First,21.1,814,5,"68,764","$4,071 "
Coimbatore,2018,Diesel,Manual,First,26.2,1248,5,"68,737","$13,084 "
Jaipur,2016,Gasoline,Automatic,First,20.5,998,5,"68,630","$5,433 "
Kochi,2014,Diesel,Manual,First,19,1461,5,"68,598","$8,662 "
Coimbatore,2017,Diesel,Manual,First,16,2523,7,"68,557","$11,428 "
Pune,2007,Gasoline,Manual,Second,15,1586,5,"68,553","$2,106 "
Hyderabad,2015,Diesel,Manual,First,23,1396,5,"68,525","$9,827 "
Bangalore,2011,Gasoline,Manual,First,15.6,1196,5,"68,465","$4,142 "
Delhi,2014,Diesel,Manual,First,26.6,1248,5,"68,462","$5,826 "
Coimbatore,2011,Diesel,Manual,First,23,1396,5,"68,439","$4,731 "
Hyderabad,2013,Diesel,Manual,First,28.4,1248,5,"68,434","$7,721 "
Mumbai,2014,Gasoline,Automatic,First,13,2494,5,"68,400","$18,953 "
Hyderabad,2010,Gasoline,Manual,First,19,998,5,"68,375","$3,510 "
Kochi,2014,CNG,Manual,First,26.6,998,5,"68,365","$5,293 "
Delhi,2012,Diesel,Manual,First,12.6,2982,7,"68,350","$19,655 "
Delhi,2012,Gasoline,Manual,First,18.9,998,5,"68,347","$3,650 "
Mumbai,2008,Diesel,Automatic,Second,11,2987,5,"68,333","$11,933 "
Coimbatore,2017,Diesel,Automatic,First,12.6,2982,7,"68,319","$35,266 "
Jaipur,2015,Diesel,Manual,First,23.4,1248,5,"68,310","$8,353 "
Hyderabad,2008,Gasoline,Manual,First,17.9,1086,5,"68,282","$3,159 "
Hyderabad,2012,Diesel,Manual,First,22.9,1248,5,"68,238","$6,739 "
Pune,2014,Gasoline,Manual,First,19.1,1197,5,"68,218","$6,879 "
Coimbatore,2016,Diesel,Automatic,First,17.1,1968,5,"68,193","$34,733 "
Jaipur,2016,Diesel,Automatic,First,19.6,1461,5,"68,163","$12,495 "
Hyderabad,2011,Gasoline,Manual,First,21.1,814,5,"68,128","$3,229 "
Kolkata,2009,Gasoline,Manual,First,19.7,796,5,"68,078","$1,432 "
Delhi,2012,Diesel,Manual,First,20.1,1498,5,"68,038","$5,054 "
Kochi,2011,Diesel,Manual,First,13.1,2499,7,"68,022","$8,227 "
Bangalore,2014,Gasoline,Manual,Second,18.5,1197,5,"68,010","$7,370 "
Ahmedabad,2013,Diesel,Manual,Second,15,1896,5,"68,008","$9,476 "
Mumbai,2009,Gasoline,Automatic,Second,10.9,3498,5,"68,001","$16,496 "
Delhi,2013,Diesel,Manual,First,25.5,1248,7,"68,000","$6,809 "
Mumbai,2014,Diesel,Manual,First,22.7,1498,5,"68,000","$9,476 "
Pune,2010,Gasoline,Manual,First,22,1197,5,"68,000","$3,931 "
Bangalore,2012,Diesel,Manual,First,21.9,1396,5,"68,000","$6,177 "
Chennai,2006,Gasoline,Manual,First,19.7,796,5,"68,000","$2,106 "
Delhi,2011,Diesel,Manual,First,19.3,1248,5,"68,000","$3,861 "
Delhi,2011,Gasoline,Manual,First,18.9,998,5,"68,000","$3,510 "
Hyderabad,2012,Gasoline,Manual,First,18.5,1197,5,"68,000","$6,177 "
Hyderabad,2007,Diesel,Manual,First,17.8,1399,5,"68,000","$2,794 "
Pune,2011,Gasoline,Manual,First,17,1591,5,"68,000","$5,194 "
Delhi,2011,Gasoline,Manual,First,17,1497,5,"68,000","$5,054 "
Chennai,2009,Gasoline,Manual,First,16.1,1298,5,"68,000","$4,071 "
Mumbai,2011,Diesel,Automatic,First,15.6,1896,5,"68,000","$6,739 "
Delhi,2016,Gasoline,Manual,First,15.3,1591,5,"68,000","$13,828 "
Delhi,2014,Diesel,Automatic,First,13,2987,5,"68,000","$38,607 "
Delhi,2012,Diesel,Manual,First,12.8,2494,7,"68,000","$9,757 "
Hyderabad,2011,Diesel,Automatic,First,12.4,2179,5,"68,000","$30,886 "
Ahmedabad,2010,Diesel,Automatic,First,11.5,2993,5,"68,000","$25,270 "
Hyderabad,2016,Diesel,Automatic,First,10.9,3198,7,"68,000","$41,415 "
Ahmedabad,2009,Diesel,Manual,Second,23,1396,5,"68,000","$5,545 "
Chennai,2013,Diesel,Manual,Second,22.1,1199,5,"68,000","$6,739 "
Hyderabad,2010,Diesel,Manual,Second,21.1,1248,5,"68,000","$4,492 "
Bangalore,2014,Gasoline,Manual,Second,16,1373,7,"68,000","$9,476 "
Bangalore,2013,Gasoline,Manual,Second,16,1373,7,"68,000","$8,774 "
Pune,2008,Gasoline,Manual,Second,16,1086,5,"68,000","$2,808 "
Mumbai,2015,Gasoline,Automatic,Second,14.3,1798,5,"68,000","$13,688 "
Pune,2011,Diesel,Manual,Second,12.8,2494,7,"68,000","$9,827 "
Delhi,2013,Diesel,Automatic,Second,12.4,2179,5,"68,000","$22,111 "
Pune,2009,Gasoline,Manual,Third,20.4,1197,5,"68,000","$2,738 "
Chennai,2008,Gasoline,Manual,Third,19.7,796,5,"68,000","$1,685 "
Coimbatore,2016,Diesel,Manual,First,16,2179,7,"67,995","$16,468 "
Kochi,2013,Diesel,Manual,First,23,1396,5,"67,914","$4,843 "
Kochi,2016,Diesel,Manual,First,25.2,1248,5,"67,906","$7,904 "
Coimbatore,2013,Diesel,Manual,First,14.7,2199,7,"67,901","$11,765 "
Kochi,2016,Diesel,Automatic,First,14.8,1998,5,"67,774","$12,565 "
Coimbatore,2014,Diesel,Manual,First,11.7,2498,8,"67,771","$9,912 "
Chennai,2010,Gasoline,Manual,First,18.5,1197,5,"67,714","$4,563 "
Delhi,2014,Diesel,Manual,First,23.1,1461,5,"67,668","$4,352 "
Hyderabad,2012,Gasoline,Manual,First,17,1497,5,"67,635","$7,370 "
Chennai,2013,Gasoline,Manual,Second,17.6,1496,5,"67,620","$5,896 "
Delhi,2011,Diesel,Automatic,Second,14.2,2143,5,"67,612","$16,145 "
Bangalore,2015,Gasoline,Manual,First,23.1,998,5,"67,600","$5,616 "
Coimbatore,2012,Gasoline,Manual,First,17,1497,5,"67,590","$7,932 "
Coimbatore,2015,Diesel,Manual,First,13,2494,7,"67,585","$16,833 "
Coimbatore,2013,Gasoline,Manual,First,19.4,1198,5,"67,559","$5,686 "
Coimbatore,2014,Diesel,Manual,First,23.4,1248,5,"67,557","$7,258 "
Chennai,2017,Diesel,Manual,First,13.7,2393,7,"67,489","$23,164 "
Coimbatore,2016,Diesel,Manual,First,16,2179,7,"67,472","$20,357 "
Ahmedabad,2013,Diesel,Manual,First,20.8,1248,7,"67,443","$8,072 "
Delhi,2011,Gasoline,Manual,Second,14.5,1798,5,"67,422","$4,984 "
Kochi,2015,Diesel,Automatic,First,11.2,2696,7,"67,415","$15,485 "
Delhi,2014,Diesel,Manual,First,21.3,1396,5,"67,407","$6,528 "
Kochi,2016,Diesel,Manual,First,24.5,1498,7,"67,376","$9,125 "
Hyderabad,2013,Gasoline,Manual,First,18.9,998,5,"67,263","$5,054 "
Pune,2012,Gasoline,Manual,First,15,1598,5,"67,200","$5,475 "
Pune,2006,Gasoline,Manual,First,17.3,993,5,"67,196","$1,755 "
Hyderabad,2012,Gasoline,Manual,First,19.7,796,5,"67,147","$3,650 "
Kolkata,2012,Diesel,Manual,First,13.6,2499,9,"67,132","$6,669 "
Hyderabad,2015,Diesel,Manual,First,28.1,1248,5,"67,048","$11,091 "
Delhi,2011,Gasoline,Manual,First,17.4,1497,5,"67,031","$5,616 "
Hyderabad,2015,Diesel,Manual,First,27.3,1498,5,"67,000","$9,687 "
Ahmedabad,2016,Diesel,Manual,First,26,1498,5,"67,000","$10,178 "
Bangalore,2014,Diesel,Manual,First,23,1396,5,"67,000","$7,721 "
Bangalore,2012,Diesel,Manual,First,23,1396,5,"67,000","$6,318 "
Bangalore,2012,Diesel,Manual,First,22.3,1582,5,"67,000","$8,774 "
Delhi,2011,Diesel,Manual,First,22.3,1582,5,"67,000","$5,335 "
Hyderabad,2014,Diesel,Manual,First,22.3,1248,5,"67,000","$3,510 "
Delhi,2016,Diesel,Manual,First,20.8,1248,7,"67,000","$9,476 "
Kolkata,2012,Diesel,Manual,First,19.3,1968,5,"67,000","$7,020 "
Delhi,2014,Gasoline,Automatic,First,19.2,2494,5,"67,000","$26,323 "
Delhi,2013,Diesel,Manual,First,19,1461,5,"67,000","$6,669 "
Pune,2010,Gasoline,Manual,First,19,998,5,"67,000","$2,808 "
Pune,2016,Diesel,Manual,First,18.5,1493,7,"67,000","$8,845 "
Hyderabad,2014,Gasoline,Manual,First,17,1591,5,"67,000","$7,862 "
Delhi,2013,Diesel,Automatic,First,16.6,1968,5,"67,000","$20,357 "
Mumbai,2010,Gasoline,Automatic,First,13.7,1798,5,"67,000","$6,598 "
Hyderabad,2017,Diesel,Manual,First,13.7,2393,7,"67,000","$23,164 "
Mumbai,2010,Diesel,Automatic,Second,22.7,1995,5,"67,000","$12,986 "
Mumbai,2015,Diesel,Manual,Second,19.9,1461,5,"67,000","$9,827 "
Chennai,2011,Gasoline,Manual,Second,18.5,1197,5,"67,000","$3,159 "
Jaipur,2013,Gasoline,Manual,Second,16.8,1496,5,"67,000","$5,686 "
Ahmedabad,2014,Diesel,Manual,Second,15.1,2179,7,"67,000","$10,108 "
Mumbai,2011,Diesel,Automatic,Second,11.7,2199,7,"67,000","$9,827 "
Bangalore,2005,Gasoline,Automatic,Second,11.3,1794,5,"67,000","$3,440 "
Mumbai,2007,Gasoline,Manual,Third,13.4,1794,5,"67,000","$3,089 "
Pune,2017,Diesel,Automatic,First,15.4,2179,7,"66,988","$14,039 "
Coimbatore,2013,Gasoline,Manual,First,17.1,1591,5,"66,930","$8,634 "
Coimbatore,2014,Diesel,Automatic,First,17.7,1968,5,"66,882","$35,126 "
Delhi,2015,Diesel,Manual,Second,22.5,1396,5,"66,823","$6,781 "
Coimbatore,2007,Gasoline,Manual,First,15.3,1341,5,"66,800","$3,089 "
Jaipur,2010,Gasoline,Manual,Second,20.4,1197,5,"66,770","$3,650 "
Bangalore,2013,Gasoline,Manual,First,15,1598,5,"66,700","$5,616 "
Jaipur,2004,Gasoline,Manual,Third,19.7,796,8,"66,624","$1,193 "
Kolkata,2016,Diesel,Automatic,First,11.4,2755,7,"66,618","$21,746 "
Bangalore,2012,Diesel,Automatic,First,10.2,4367,7,"66,538","$98,273 "
Pune,2015,Gasoline,Manual,First,21.1,814,5,"66,510","$4,142 "
Coimbatore,2017,Gasoline,Automatic,Second,19,1199,5,"66,507","$7,623 "
Delhi,2014,Diesel,Manual,First,26,1498,5,"66,500","$8,002 "
Kochi,2009,Gasoline,Manual,First,13.8,1299,5,"66,484","$2,316 "
Delhi,2013,Diesel,Automatic,First,11.2,2696,7,"66,372","$14,741 "
Kochi,2014,Gasoline,Manual,First,18,1198,5,"66,355","$5,784 "
Jaipur,2015,Diesel,Manual,Second,25.1,1498,5,"66,339","$9,687 "
Kochi,2015,Diesel,Manual,First,24,1120,5,"66,337","$6,963 "
Delhi,2013,Diesel,Manual,First,19.9,1461,5,"66,314","$7,721 "
Coimbatore,2016,Diesel,Manual,First,16,2179,7,"66,296","$22,406 "
Hyderabad,2010,Diesel,Manual,First,19.5,1199,5,"66,285","$4,212 "
Hyderabad,2011,Gasoline,Manual,First,17,1497,5,"66,276","$7,721 "
Coimbatore,2012,Gasoline,Manual,First,17,1497,5,"66,245","$7,974 "
Hyderabad,2009,Gasoline,Manual,First,19,998,5,"66,149","$3,440 "
Jaipur,2010,Diesel,Manual,Second,20,1399,5,"66,123","$2,948 "
Kochi,2015,Diesel,Automatic,First,21.7,1498,5,"66,122","$8,367 "
Kolkata,2011,Diesel,Manual,First,22.1,1199,5,"66,035","$3,496 "
Kochi,2013,Gasoline,Manual,First,15.5,1586,5,"66,012","$5,826 "
